Date,AMZN,KO,MSFT
2011-01-10 00:00:00-05:00,9.23,20.62,21.73
2011-01-11 00:00:00-05:00,9.22,20.5,21.65
2011-01-12 00:00:00-05:00,9.2,20.62,21.99
2011-01-13 00:00:00-05:00,9.28,20.74,21.71
2011-01-14 00:00:00-05:00,9.44,20.65,21.79
2011-01-18 00:00:00-05:00,9.56,20.76,22.07
2011-01-19 00:00:00-05:00,9.34,20.74,21.92
2011-01-20 00:00:00-05:00,9.1,20.58,21.83
2011-01-21 00:00:00-05:00,8.87,20.53,21.58
2011-01-24 00:00:00-05:00,8.84,20.69,21.85
2011-01-25 00:00:00-05:00,8.84,20.59,21.91
2011-01-26 00:00:00-05:00,8.77,20.59,22.16
2011-01-27 00:00:00-05:00,9.22,20.51,22.23
2011-01-28 00:00:00-05:00,8.56,20.35,21.37
2011-01-31 00:00:00-05:00,8.48,20.56,21.35
2011-02-01 00:00:00-05:00,8.61,20.62,21.55
2011-02-02 00:00:00-05:00,8.68,20.56,21.52
2011-02-03 00:00:00-05:00,8.69,20.46,21.29
2011-02-04 00:00:00-05:00,8.8,20.46,21.38
2011-02-07 00:00:00-05:00,8.82,20.45,21.72
2011-02-08 00:00:00-05:00,9.15,20.56,21.78
2011-02-09 00:00:00-05:00,9.27,20.65,21.54
2011-02-10 00:00:00-05:00,9.31,20.78,21.18
2011-02-11 00:00:00-05:00,9.46,20.79,20.98
2011-02-14 00:00:00-05:00,9.52,20.65,20.97
2011-02-15 00:00:00-05:00,9.45,20.67,20.88
2011-02-16 00:00:00-05:00,9.33,20.74,20.93
2011-02-17 00:00:00-05:00,9.39,21.11,21.08
2011-02-18 00:00:00-05:00,9.32,21.11,20.96
2011-02-22 00:00:00-05:00,9.02,20.85,20.6
2011-02-23 00:00:00-05:00,8.83,20.9,20.6
2011-02-24 00:00:00-05:00,8.89,20.89,20.74
2011-02-25 00:00:00-05:00,8.86,21.03,20.57
2011-02-28 00:00:00-05:00,8.66,20.91,20.59
2011-03-01 00:00:00-05:00,8.47,21.23,20.26
2011-03-02 00:00:00-05:00,8.6,21.07,20.2
2011-03-03 00:00:00-05:00,8.64,21.45,20.3
2011-03-04 00:00:00-05:00,8.58,21.33,20.1
2011-03-07 00:00:00-05:00,8.45,21.33,19.92
2011-03-08 00:00:00-05:00,8.34,21.47,20.07
2011-03-09 00:00:00-05:00,8.45,21.46,20.05
2011-03-10 00:00:00-05:00,8.31,21.35,19.68
2011-03-11 00:00:00-05:00,8.4,21.35,19.89
2011-03-14 00:00:00-04:00,8.34,21.06,19.9
2011-03-15 00:00:00-04:00,8.25,20.76,19.67
2011-03-16 00:00:00-04:00,8.23,20.29,19.2
2011-03-17 00:00:00-04:00,8.05,20.52,19.2
2011-03-18 00:00:00-04:00,8.09,20.66,19.21
2011-03-21 00:00:00-04:00,8.23,20.94,19.62
2011-03-22 00:00:00-04:00,8.13,20.92,19.6
2011-03-23 00:00:00-04:00,8.27,21.17,19.78
2011-03-24 00:00:00-04:00,8.56,21.31,19.99
2011-03-25 00:00:00-04:00,8.55,21.49,19.85
2011-03-28 00:00:00-04:00,8.47,21.42,19.68
2011-03-29 00:00:00-04:00,8.73,21.65,19.75
2011-03-30 00:00:00-04:00,8.97,21.76,19.84
2011-03-31 00:00:00-04:00,9.01,21.85,19.67
2011-04-01 00:00:00-04:00,9.01,22.14,19.74
2011-04-04 00:00:00-04:00,9.15,22.29,19.79
2011-04-05 00:00:00-04:00,9.26,22.23,19.97
2011-04-06 00:00:00-04:00,9.14,22.28,20.26
2011-04-07 00:00:00-04:00,9.25,22.22,20.3
2011-04-08 00:00:00-04:00,9.24,22.16,20.19
2011-04-11 00:00:00-04:00,9.2,22.2,20.12
2011-04-12 00:00:00-04:00,9.02,22.04,19.86
2011-04-13 00:00:00-04:00,9.11,22.16,19.85
2011-04-14 00:00:00-04:00,9.09,22.5,19.69
2011-04-15 00:00:00-04:00,9.0,22.4,19.65
2011-04-18 00:00:00-04:00,8.92,22.17,19.43
2011-04-19 00:00:00-04:00,8.94,22.1,19.48
