Date,AMZN,KO,MSFT
2024-01-02 00:00:00-05:00,149.93,58.05,368.85
2024-01-03 00:00:00-05:00,148.47,58.18,368.59
2024-01-04 00:00:00-05:00,144.57,57.99,365.94
2024-01-05 00:00:00-05:00,145.24,57.9,365.75
2024-01-08 00:00:00-05:00,149.1,58.33,372.65
2024-01-09 00:00:00-05:00,151.37,58.22,373.75
2024-01-10 00:00:00-05:00,153.73,58.42,380.69
2024-01-11 00:00:00-05:00,155.18,58.04,382.54
2024-01-12 00:00:00-05:00,154.62,58.6,386.36
2024-01-16 00:00:00-05:00,153.16,58.21,388.15
2024-01-17 00:00:00-05:00,151.71,58.21,387.35
2024-01-18 00:00:00-05:00,153.5,58.38,391.73
2024-01-19 00:00:00-05:00,155.34,58.06,396.5
2024-01-22 00:00:00-05:00,154.78,57.8,394.35
2024-01-23 00:00:00-05:00,156.02,58.08,396.73
2024-01-24 00:00:00-05:00,156.87,57.16,400.37
2024-01-25 00:00:00-05:00,157.75,57.41,402.67
2024-01-26 00:00:00-05:00,159.12,57.61,401.73
2024-01-29 00:00:00-05:00,161.26,57.96,407.49
2024-01-30 00:00:00-05:00,159.0,58.12,406.37
2024-01-31 00:00:00-05:00,155.2,57.73,395.42
2024-02-01 00:00:00-05:00,159.28,59.17,401.59
2024-02-02 00:00:00-05:00,171.81,58.75,408.98
2024-02-05 00:00:00-05:00,170.31,58.26,403.45
2024-02-06 00:00:00-05:00,169.15,58.16,403.29
2024-02-07 00:00:00-05:00,170.53,58.21,411.8
2024-02-08 00:00:00-05:00,169.84,58.06,411.86
2024-02-09 00:00:00-05:00,174.45,57.79,418.26
2024-02-12 00:00:00-05:00,172.34,57.93,413.0
2024-02-13 00:00:00-05:00,168.64,57.59,404.11
2024-02-14 00:00:00-05:00,170.98,57.53,408.02
2024-02-15 00:00:00-05:00,169.8,57.64,405.1
2024-02-16 00:00:00-05:00,169.51,57.63,402.61
2024-02-20 00:00:00-05:00,167.08,58.9,401.34
2024-02-21 00:00:00-05:00,168.59,59.43,400.73
2024-02-22 00:00:00-05:00,174.58,59.34,410.17
2024-02-23 00:00:00-05:00,174.99,59.39,408.86
2024-02-26 00:00:00-05:00,174.73,58.91,406.07
2024-02-27 00:00:00-05:00,173.54,58.55,406.01
2024-02-28 00:00:00-05:00,173.16,58.61,406.25
2024-02-29 00:00:00-05:00,176.76,58.24,412.15
2024-03-01 00:00:00-05:00,178.22,57.77,414.01
2024-03-04 00:00:00-05:00,177.58,58.04,413.43
2024-03-05 00:00:00-05:00,174.12,57.76,401.2
2024-03-06 00:00:00-05:00,173.51,57.79,400.64
2024-03-07 00:00:00-05:00,176.82,57.68,407.67
2024-03-08 00:00:00-05:00,175.35,57.76,404.76
2024-03-11 00:00:00-04:00,171.96,58.45,403.07
2024-03-12 00:00:00-04:00,175.39,58.71,413.79
2024-03-13 00:00:00-04:00,176.56,59.31,413.61
2024-03-14 00:00:00-04:00,178.75,59.18,423.69
2024-03-15 00:00:00-04:00,174.42,58.57,414.92
2024-03-18 00:00:00-04:00,174.48,58.81,415.82
2024-03-19 00:00:00-04:00,175.9,58.91,419.89
2024-03-20 00:00:00-04:00,178.15,59.42,423.7
2024-03-21 00:00:00-04:00,178.15,59.15,427.83
2024-03-22 00:00:00-04:00,178.87,59.17,427.2
2024-03-25 00:00:00-04:00,179.71,59.08,421.34
2024-03-26 00:00:00-04:00,178.3,59.22,420.13
2024-03-27 00:00:00-04:00,179.83,59.69,419.91
2024-03-28 00:00:00-04:00,180.38,59.84,419.21
2024-04-01 00:00:00-04:00,180.97,59.35,423.04
2024-04-02 00:00:00-04:00,180.69,58.83,419.92
2024-04-03 00:00:00-04:00,182.41,58.52,418.94
2024-04-04 00:00:00-04:00,180.0,58.0,416.38
2024-04-05 00:00:00-04:00,185.07,58.21,423.99
2024-04-08 00:00:00-04:00,185.19,57.97,423.06
2024-04-09 00:00:00-04:00,185.67,58.41,424.75
2024-04-10 00:00:00-04:00,185.95,57.63,421.74
2024-04-11 00:00:00-04:00,189.05,57.76,426.39
2024-04-12 00:00:00-04:00,186.13,57.01,420.38
2024-04-15 00:00:00-04:00,183.62,56.87,412.15
2024-04-16 00:00:00-04:00,183.32,56.79,413.09
2024-04-17 00:00:00-04:00,181.28,57.23,410.36
2024-04-18 00:00:00-04:00,179.22,57.62,402.82
2024-04-19 00:00:00-04:00,174.63,58.85,397.68
2024-04-22 00:00:00-04:00,177.23,59.23,399.52
2024-04-23 00:00:00-04:00,179.54,59.31,406.1
2024-04-24 00:00:00-04:00,176.59,60.2,407.59
2024-04-25 00:00:00-04:00,173.67,60.39,397.6
2024-04-26 00:00:00-04:00,179.62,60.39,404.86
2024-04-29 00:00:00-04:00,180.96,60.68,400.8
2024-04-30 00:00:00-04:00,175.0,60.42,387.93
2024-05-01 00:00:00-04:00,179.0,60.58,393.52
2024-05-02 00:00:00-04:00,184.72,60.63,396.41
2024-05-03 00:00:00-04:00,186.21,60.81,405.2
2024-05-06 00:00:00-04:00,188.7,60.99,412.05
2024-05-07 00:00:00-04:00,188.76,61.25,407.87
2024-05-08 00:00:00-04:00,188.0,61.48,409.06
2024-05-09 00:00:00-04:00,189.5,61.5,410.84
2024-05-10 00:00:00-04:00,187.48,61.88,413.25
2024-05-13 00:00:00-04:00,186.57,62.19,412.23
2024-05-14 00:00:00-04:00,187.07,61.72,415.06
2024-05-15 00:00:00-04:00,185.99,61.75,422.32
2024-05-16 00:00:00-04:00,183.63,61.93,420.23
2024-05-17 00:00:00-04:00,184.7,61.65,419.45
2024-05-20 00:00:00-04:00,183.54,61.2,424.57
2024-05-21 00:00:00-04:00,183.15,61.53,428.27
2024-05-22 00:00:00-04:00,183.13,61.62,429.75
2024-05-23 00:00:00-04:00,181.05,60.73,426.23
2024-05-24 00:00:00-04:00,180.75,60.64,429.39
2024-05-28 00:00:00-04:00,182.15,60.47,429.55
2024-05-29 00:00:00-04:00,182.02,60.35,428.4
2024-05-30 00:00:00-04:00,179.32,60.61,413.92
2024-05-31 00:00:00-04:00,176.44,61.55,414.38
2024-06-03 00:00:00-04:00,178.34,61.55,412.78
2024-06-04 00:00:00-04:00,179.34,62.54,415.32
2024-06-05 00:00:00-04:00,181.28,62.52,423.25
2024-06-06 00:00:00-04:00,185.0,62.75,423.76
2024-06-07 00:00:00-04:00,184.3,62.51,423.09
2024-06-10 00:00:00-04:00,187.06,62.2,427.1
2024-06-11 00:00:00-04:00,187.23,62.16,431.9
2024-06-12 00:00:00-04:00,186.89,61.5,440.27
2024-06-13 00:00:00-04:00,183.83,61.61,440.79
2024-06-14 00:00:00-04:00,183.66,61.66,441.77
2024-06-17 00:00:00-04:00,184.06,61.73,447.56
2024-06-18 00:00:00-04:00,182.81,61.74,445.54
2024-06-20 00:00:00-04:00,186.1,61.29,444.9
2024-06-21 00:00:00-04:00,189.08,61.87,448.97
2024-06-24 00:00:00-04:00,185.57,63.06,446.86
2024-06-25 00:00:00-04:00,186.34,62.93,450.14
2024-06-26 00:00:00-04:00,193.61,63.14,451.35
2024-06-27 00:00:00-04:00,197.85,63.0,452.04
2024-06-28 00:00:00-04:00,193.25,62.74,446.15
2024-07-01 00:00:00-04:00,197.2,62.38,455.91
2024-07-02 00:00:00-04:00,200.0,62.25,458.45
2024-07-03 00:00:00-04:00,197.59,62.43,459.94
2024-07-05 00:00:00-04:00,200.0,62.85,466.72
2024-07-08 00:00:00-04:00,199.29,62.06,465.4
2024-07-09 00:00:00-04:00,199.34,61.79,458.71
2024-07-10 00:00:00-04:00,199.79,61.93,465.41
2024-07-11 00:00:00-04:00,195.05,62.2,453.88
2024-07-12 00:00:00-04:00,194.49,62.79,452.73
2024-07-15 00:00:00-04:00,192.72,62.5,453.14
2024-07-16 00:00:00-04:00,193.02,63.35,448.71
2024-07-17 00:00:00-04:00,187.93,64.28,442.72
2024-07-18 00:00:00-04:00,183.75,64.26,439.58
2024-07-19 00:00:00-04:00,183.13,64.36,436.32
2024-07-22 00:00:00-04:00,182.55,63.84,442.14
2024-07-23 00:00:00-04:00,186.41,64.03,444.05
2024-07-24 00:00:00-04:00,180.83,64.87,428.13
2024-07-25 00:00:00-04:00,179.85,65.13,417.65
2024-07-26 00:00:00-04:00,182.5,66.09,424.5
2024-07-29 00:00:00-04:00,183.2,65.88,425.96
2024-07-30 00:00:00-04:00,181.71,66.71,422.16
2024-07-31 00:00:00-04:00,186.98,65.79,417.6
2024-08-01 00:00:00-04:00,184.07,66.99,416.36
2024-08-02 00:00:00-04:00,167.9,68.34,407.76
2024-08-05 00:00:00-04:00,161.02,67.13,394.44
2024-08-06 00:00:00-04:00,161.93,67.08,398.89
2024-08-07 00:00:00-04:00,162.77,67.48,397.71
2024-08-08 00:00:00-04:00,165.8,67.75,401.97
2024-08-09 00:00:00-04:00,166.94,67.7,405.29
2024-08-12 00:00:00-04:00,166.8,67.2,406.08
2024-08-13 00:00:00-04:00,170.23,67.48,413.27
2024-08-14 00:00:00-04:00,170.1,67.6,416.11
2024-08-15 00:00:00-04:00,177.59,67.67,421.03
2024-08-16 00:00:00-04:00,177.06,68.19,418.47
